File,NEF,TIFF,Date Created,Date Modified,File Size,Image Size,Date Shot,Time Zone and Date,Image Quality,Artist,Copyright,Image Comment,Device,Lens,Focal Length,Focus Mode,AF-Area Mode,VR,AF Fine Tune,Aperture,Shutter Speed,Exposure Mode,Exposure Comp.,Exposure Tuning,Metering,ISO Sensitivity,Flash Device,Flash Sync Mode,Flash Mode,White Balance,Color Space,High ISO NR,Long Exposure NR,Active D-Lighting,Image Authentication,Vignette Control,Auto Distortion Control,Picture Control,Base,Quick Adjust,Sharpening,Contrast,Brightness,Saturation,Hue,Filter Effects,Toning,Optimize Image,Color Mode,Tone Comp.,Hue Adjustment,Saturation,Sharpening,Latitude,Longitude,Altitude,Altitude Reference,Heading,UTC,Map Datum,Scene Mode,Keywords
r00816405t,http://193.205.194.113/RAISE/NEF/r00816405t.NEF,http://193.205.194.113/RAISE/TIFF/r00816405t.TIF,9/21/2014 6:37,4/25/2013 11:13,20.9 MB,L (4928 x 3264),13:51.1,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,18mm,AF-A,Dynamic,ON,OFF,f/3.5,1/1250s,Aperture Priority,0EV,,Matrix,ISO 200,,,,"Cloudy, 0, 0",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,5,0,1,0,0,,,,,,,,,,,,,,,,,nature; outdoor
r00869422t,http://193.205.194.113/RAISE/NEF/r00869422t.NEF,http://193.205.194.113/RAISE/TIFF/r00869422t.TIF,9/20/2014 23:08,2/18/2012 6:03,10.9 MB,L (4288 x 2848),03:00.0,"UTC+1, DST:OFF",Compressed RAW (12-bit),,,,Nikon D90,VR 18-105mm f/3.5-5.6G,18mm,AF-A,Auto,ON,,f/3.5,1/13s,Aperture Priority,0EV,,Matrix,ISO 640,,,,"Cloudy, 0, 0",Adobe RGB,OFF,OFF,Extra High,,,,[SD] STANDARD,[SD] STANDARD,-,8,Active D-Lighting,Active D-Lighting,2,0,,,,,,,,,,,,,,,,,Indoor
r00879054t,http://193.205.194.113/RAISE/NEF/r00879054t.NEF,http://193.205.194.113/RAISE/TIFF/r00879054t.TIF,9/21/2014 11:10,10/27/2013 7:46,19.8 MB,L (4928 x 3264),46:18.8,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,18mm,AF-A,Dynamic,ON,OFF,f/22,1/60s,,0EV,,Matrix,ISO 200,,,,"Cloudy, A2, G1",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,5,1,1,1,0,,,,,,,,,,,,,,,,Aperture Priority,outdoor
r008a2095t,http://193.205.194.113/RAISE/NEF/r008a2095t.NEF,http://193.205.194.113/RAISE/TIFF/r008a2095t.TIF,9/21/2014 6:57,4/4/2013 13:41,23.4 MB,L (4928 x 3264),41:59.2,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,18mm,AF-A,Auto,ON,OFF,f/3.5,1/125s,Manual,0EV,,Spot,ISO 320,,,,"Cloudy, A3, G1",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,9,3,1,0,0,,,,,,,,,,,,,,,,,nature; outdoor
r008ed083t,http://193.205.194.113/RAISE/NEF/r008ed083t.NEF,http://193.205.194.113/RAISE/TIFF/r008ed083t.TIF,9/21/2014 12:07,10/19/2013 10:18,21.3 MB,L (4928 x 3264),18:45.6,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,18mm,Manual,Single,ON,OFF,f/16,1/250s,,0EV,,Matrix,ISO 400,,,,"Cloudy, A2, G1",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,5,1,1,1,0,,,,,,,,,,,,,,,,Aperture Priority,landscape; outdoor
r00a940e1t,http://193.205.194.113/RAISE/NEF/r00a940e1t.NEF,http://193.205.194.113/RAISE/TIFF/r00a940e1t.TIF,9/20/2014 21:42,1/22/2012 10:53,9.53 MB,L (4288 x 2848),53:03.0,"UTC+1, DST:OFF",Compressed RAW (12-bit),,,,Nikon D90,VR 18-105mm f/3.5-5.6G,18mm,Manual,Single,ON,,f/3.5,1/800s,Manual,0EV,,Matrix,ISO 640,,,,"Cloudy, 0, 0",Adobe RGB,OFF,OFF,Extra High,,,,[SD] STANDARD,[SD] STANDARD,2,5,Active D-Lighting,Active D-Lighting,2,0,,,,,,,,,,,,,,,,,landscape; outdoor
r00b3931bt,http://193.205.194.113/RAISE/NEF/r00b3931bt.NEF,http://193.205.194.113/RAISE/TIFF/r00b3931bt.TIF,9/20/2014 21:42,1/22/2012 10:49,11.1 MB,L (4288 x 2848),49:27.0,"UTC+1, DST:OFF",Compressed RAW (12-bit),,,,Nikon D90,VR 18-105mm f/3.5-5.6G,18mm,AF-A,Auto,ON,,f/3.5,1/800s,Manual,0EV,,Matrix,ISO 640,,,,"Cloudy, 0, 0",Adobe RGB,OFF,OFF,Extra High,,,,[SD] STANDARD,[SD] STANDARD,2,5,Active D-Lighting,Active D-Lighting,2,0,,,,,,,,,,,,,,,,,landscape; outdoor
r00b8d4a2t,http://193.205.194.113/RAISE/NEF/r00b8d4a2t.NEF,http://193.205.194.113/RAISE/TIFF/r00b8d4a2t.TIF,9/20/2014 23:00,2/17/2012 11:13,10.7 MB,L (4288 x 2848),13:39.0,"UTC+1, DST:OFF",Compressed RAW (12-bit),,,,Nikon D90,VR 18-105mm f/3.5-5.6G,58mm,AF-A,Auto,ON,,f/5,1/50s,Aperture Priority,0EV,,Matrix,ISO 400,,,,"Cloudy, 0, 0",Adobe RGB,OFF,OFF,Extra High,,,,[SD] STANDARD,[SD] STANDARD,-,8,Active D-Lighting,Active D-Lighting,2,0,,,,,,,,,,,,,,,,,Indoor
r00c0995ft,http://193.205.194.113/RAISE/NEF/r00c0995ft.NEF,http://193.205.194.113/RAISE/TIFF/r00c0995ft.TIF,9/20/2014 23:20,2/18/2012 13:21,10.7 MB,L (4288 x 2848),21:06.0,"UTC+1, DST:OFF",Compressed RAW (12-bit),,,,Nikon D90,VR 18-105mm f/3.5-5.6G,18mm,AF-A,Auto,ON,,f/5,1/5s,Aperture Priority,0EV,,Matrix,ISO 640,,,,"Cloudy, 0, 0",Adobe RGB,OFF,OFF,Extra High,,,,[SD] STANDARD,[SD] STANDARD,-,8,Active D-Lighting,Active D-Lighting,2,0,,,,,,,,,,,,,,,,,Indoor; buildings
r00c4a543t,http://193.205.194.113/RAISE/NEF/r00c4a543t.NEF,http://193.205.194.113/RAISE/TIFF/r00c4a543t.TIF,9/20/2014 17:17,4/2/2014 14:20,19.2 MB,L (4928 x 3264),20:56.6,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,35mm,AF-A,Dynamic,ON,OFF,f/4.5,1/2000s,Aperture Priority,0EV,,Matrix,ISO 320,,,,"Shade, 0, 0",sRGB,ON (Normal),OFF,OFF,,,OFF,[SD] STANDARD,[SD] STANDARD,-,6,2,1,0,0,,,,,,,,,,,,,,,,,nature; outdoor
r00d161b7t,http://193.205.194.113/RAISE/NEF/r00d161b7t.NEF,http://193.205.194.113/RAISE/TIFF/r00d161b7t.TIF,9/20/2014 17:00,4/12/2014 8:18,19.7 MB,L (4928 x 3264),18:40.3,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,31mm,Manual,Single,ON,OFF,f/4,1/13s,Aperture Priority,0EV,,Matrix,ISO 1600,,,,"Cloudy, A1, 0",sRGB,ON (Normal),OFF,OFF,,,OFF,[SD] STANDARD,[SD] STANDARD,-,5,0,1,1,0,,,,,,,,,,,,,,,,,Indoor; objects
r00de2590t,http://193.205.194.113/RAISE/NEF/r00de2590t.NEF,http://193.205.194.113/RAISE/TIFF/r00de2590t.TIF,9/21/2014 6:45,4/6/2013 9:44,20.3 MB,L (4928 x 3264),44:57.8,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,18mm,AF-A,Auto,ON,OFF,f/13,1/125s,Aperture Priority,0EV,,Matrix,ISO 160,,,,"Cloudy, 0, 0",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,9,3,1,0,0,,,,,,,,,,,,,,,,,buildings; outdoor
r01058910t,http://193.205.194.113/RAISE/NEF/r01058910t.NEF,http://193.205.194.113/RAISE/TIFF/r01058910t.TIF,9/20/2014 22:58,2/17/2012 10:24,9.78 MB,L (4288 x 2848),24:06.0,"UTC+1, DST:OFF",Compressed RAW (12-bit),,,,Nikon D90,VR 18-105mm f/3.5-5.6G,21mm,AF-A,Auto,ON,,f/3.8,1/250s,Aperture Priority,0EV,,Matrix,ISO 250,,,,"Cloudy, 0, 0",Adobe RGB,OFF,OFF,Extra High,,,,[SD] STANDARD,[SD] STANDARD,-,8,Active D-Lighting,Active D-Lighting,2,0,,,,,,,,,,,,,,,,,Indoor; objects
r0108c383t,http://193.205.194.113/RAISE/NEF/r0108c383t.NEF,http://193.205.194.113/RAISE/TIFF/r0108c383t.TIF,9/20/2014 21:04,2/17/2012 9:33,10.6 MB,L (4288 x 2848),33:27.0,"UTC+1, DST:OFF",Compressed RAW (12-bit),,,,Nikon D90,VR 18-105mm f/3.5-5.6G,18mm,AF-A,Auto,ON,,f/3.5,1/40s,Aperture Priority,0EV,,Matrix,ISO 640,,,,"Cool-white fluorescent, A1, G1",Adobe RGB,OFF,OFF,Extra High,,,,[SD] STANDARD,[SD] STANDARD,-,8,Active D-Lighting,Active D-Lighting,2,0,,,,,,,,,,,,,,,,,Indoor; buildings
r010cb248t,http://193.205.194.113/RAISE/NEF/r010cb248t.NEF,http://193.205.194.113/RAISE/TIFF/r010cb248t.TIF,9/20/2014 22:48,2/17/2012 5:33,11.3 MB,L (4288 x 2848),33:36.0,"UTC+1, DST:OFF",Compressed RAW (12-bit),,,,Nikon D90,VR 18-105mm f/3.5-5.6G,18mm,AF-A,Auto,ON,,f/8,1/250s,Aperture Priority,0EV,,Matrix,ISO 200,,,,"Cloudy, 0, 0",Adobe RGB,OFF,OFF,Extra High,,,,[SD] STANDARD,[SD] STANDARD,2,5,Active D-Lighting,Active D-Lighting,2,0,,,,,,,,,,,,,,,,,outdoor; people
r01170470t,http://193.205.194.113/RAISE/NEF/r01170470t.NEF,http://193.205.194.113/RAISE/TIFF/r01170470t.TIF,9/20/2014 17:08,4/12/2014 6:59,19.6 MB,L (4928 x 3264),59:54.4,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,22mm,AF-A,Dynamic,ON,OFF,f/10,1/320s,Aperture Priority,0EV,,Matrix,ISO 200,,,,"Cloudy, A1, 0",sRGB,ON (Normal),OFF,OFF,,,OFF,[SD] STANDARD,[SD] STANDARD,-,5,0,1,1,0,,,,,,,,,,,,,,,,,buildings; landscape; outdoor
r01291f20t,http://193.205.194.113/RAISE/NEF/r01291f20t.NEF,http://193.205.194.113/RAISE/TIFF/r01291f20t.TIF,9/20/2014 16:11,4/11/2014 11:06,17.5 MB,L (4928 x 3264),06:56.3,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,82mm,AF-A,Dynamic,ON,OFF,f/5.6,1/250s,Aperture Priority,0EV,,Matrix,ISO 200,,,,"Cloudy, A2, G1",sRGB,ON (Normal),OFF,OFF,,,OFF,[SD] STANDARD,[SD] STANDARD,-,5,0,1,-1,0,,,,,,,,,,,,,,,,,nature; outdoor
r01292fd8t,http://193.205.194.113/RAISE/NEF/r01292fd8t.NEF,http://193.205.194.113/RAISE/TIFF/r01292fd8t.TIF,9/20/2014 17:02,8/21/2012 9:43,19.6 MB,L (4928 x 3264),43:15.6,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,46mm,AF-A,Auto,ON,OFF,f/18,1/125s,Aperture Priority,0EV,,Matrix,ISO 200,,,,"Cloudy, A2, 0",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,6,2,1,1,0,,,,,,,,,,,,,,,,,buildings; outdoor
r012b0f30t,http://193.205.194.113/RAISE/NEF/r012b0f30t.NEF,http://193.205.194.113/RAISE/TIFF/r012b0f30t.TIF,9/21/2014 0:27,6/8/2014 8:03,20.2 MB,L (4928 x 3264),03:27.1,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,18mm,AF-C,Dynamic,ON,OFF,f/16,1/100s,Aperture Priority,0EV,,Matrix,ISO 250,,,,"Cloudy, 0, 0",sRGB,ON (Normal),OFF,OFF,,,OFF,[SD] STANDARD,[SD] STANDARD,-,6,0,1,1,1,,,,,,,,,,,,,,,,,landscape; outdoor
r012d1dbet,http://193.205.194.113/RAISE/NEF/r012d1dbet.NEF,http://193.205.194.113/RAISE/TIFF/r012d1dbet.TIF,9/21/2014 11:54,10/19/2013 8:21,20.5 MB,L (4928 x 3264),21:01.2,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,18mm,AF-A,Dynamic,ON,OFF,f/16,1/125s,,0EV,,Matrix,ISO 250,,,,"Cloudy, A2, G1",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,5,1,1,1,0,,,,,,,,,,,,,,,,Aperture Priority,buildings; outdoor
r0141f0c9t,http://193.205.194.113/RAISE/NEF/r0141f0c9t.NEF,http://193.205.194.113/RAISE/TIFF/r0141f0c9t.TIF,9/21/2014 6:28,4/11/2013 10:22,19.8 MB,L (4928 x 3264),22:41.4,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,70mm,AF-C,Single,ON,OFF,f/5,1/50s,Aperture Priority,0EV,,Matrix,ISO 1250,,,,"Cloudy, 0, 0",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,9,3,1,0,0,,,,,,,,,,,,,,,,,Indoor; people
r01474187t,http://193.205.194.113/RAISE/NEF/r01474187t.NEF,http://193.205.194.113/RAISE/TIFF/r01474187t.TIF,9/21/2014 11:43,10/27/2013 12:16,22.8 MB,L (4928 x 3264),16:24.7,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,18mm,AF-A,Dynamic,ON,OFF,f/7.1,1/30s,,0EV,,Matrix,ISO 400,,,,"Cloudy, A2, G1",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,5,1,1,1,0,,,,,,,,,,,,,,,,Aperture Priority,nature; outdoor
r0149a21ct,http://193.205.194.113/RAISE/NEF/r0149a21ct.NEF,http://193.205.194.113/RAISE/TIFF/r0149a21ct.TIF,9/21/2014 3:35,5/16/2014 11:25,21.1 MB,L (4928 x 3264),25:24.8,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,27mm,AF-S,Single,ON,OFF,f/8,1/125s,Manual,0EV,,Matrix,ISO 400,,,,"Cloudy, 0, 0",sRGB,ON (Normal),OFF,OFF,,,OFF,[SD] STANDARD,[SD] STANDARD,-,6,0,1,1,1,,,,,,,,,,,,,,,,,nature; outdoor
r0150031ft,http://193.205.194.113/RAISE/NEF/r0150031ft.NEF,http://193.205.194.113/RAISE/TIFF/r0150031ft.TIF,9/21/2014 0:21,5/13/2012 5:38,11.2 MB,L (4288 x 2848),38:24.0,"UTC+1, DST:OFF",Compressed RAW (12-bit),,,,Nikon D90,VR 18-105mm f/3.5-5.6G,18mm,AF-A,Auto,ON,,f/11,1/250s,Aperture Priority,+0.3EV,,Matrix,ISO 200,,,,"Cloudy, 0, 0",Adobe RGB,OFF,OFF,Extra High,,,,[VI] VIVID,[VI] VIVID,-,6,Active D-Lighting,Active D-Lighting,3,2,,,,,,,,,,,,,,,,,buildings; outdoor; people
r01511e3et,http://193.205.194.113/RAISE/NEF/r01511e3et.NEF,http://193.205.194.113/RAISE/TIFF/r01511e3et.TIF,9/20/2014 17:49,8/22/2012 10:07,18.4 MB,L (4928 x 3264),07:44.2,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,18mm,AF-A,Auto,ON,OFF,f/3.5,1/50s,Manual,0EV,,Matrix,ISO 200,,,,"Cloudy, 0, 0",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,6,0,1,-1,0,,,,,,,,,,,,,,,,,Indoor; objects
r01559391t,http://193.205.194.113/RAISE/NEF/r01559391t.NEF,http://193.205.194.113/RAISE/TIFF/r01559391t.TIF,9/20/2014 17:25,8/21/2012 15:30,19.1 MB,L (4928 x 3264),30:11.4,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,18mm,AF-A,Auto,ON,OFF,f/16,1/400s,Manual,0EV,,Matrix,ISO 400,,,,"Cloudy, A2, 0",sRGB,ON (Normal),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,6,2,1,1,0,,,,,,,,,,,,,,,,,outdoor
r015b453ft,http://193.205.194.113/RAISE/NEF/r015b453ft.NEF,http://193.205.194.113/RAISE/TIFF/r015b453ft.TIF,9/20/2014 21:32,1/1/2012 7:55,22.9 MB,L (4928 x 3264),55:44.3,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,48mm,Manual,Single,ON,OFF,f/29,1/800s,Manual,0EV,,Matrix,ISO 4000,,,,"Shade, B2, 0",sRGB,ON (Low),OFF,OFF,,,OFF,[LS] Landscape,[LS] Landscape,-,9,3,0,2,1,,,,,,,,,,,,,,,,,landscape; outdoor
r0176fbcat,http://193.205.194.113/RAISE/NEF/r0176fbcat.NEF,http://193.205.194.113/RAISE/TIFF/r0176fbcat.TIF,9/21/2014 3:11,5/4/2014 14:11,20.4 MB,L (4928 x 3264),11:44.2,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,18mm,AF-A,Dynamic,ON,OFF,f/16,1/10s,Aperture Priority,0EV,,Matrix,ISO 500,,,,"Shade, B1, G1",sRGB,ON (Normal),OFF,OFF,,,OFF,[SD] STANDARD,[SD] STANDARD,-,6,0,1,1,1,,,,,,,,,,,,,,,,,buildings; outdoor
